case_ts_number,requested_date,machine_salesmodel,machine_hours,part_number,part_description,complaint,description,complaint_local_language,test_performed,test_performed_local_language,site_conditions,correction,correction_local_language,cause,cause_local_language,additional_machine_attachments,state,causing_part_name,function_group,defect_code_id,defect_code_description,defect_code_definition,application_short_description,fault_codes
TS3196674,2022-05-19T08:51:41Z,L120H,16,17515206,FUEL FILTER,Engine stops and error code P016F00 is active.,P008700 Fuel Rail/System Pressure - Too Low Bank 1 - No Sub Type Information,null,"On 13-4-2022 we replaced the fuel filters to the new type with the 1000 service interval. That day the machine generates the error code  P008700 once. Since then machine generates  P008700 and at the same time P016F00, but also error code P016F00 is generated without error code P008700. Error code P016F00 can only be generated when machine is filling the bucket in a pile, so full power is needed from the engine. We replaced the fuel filters again but without result. No air in the return fuel to the tank. Cylinder balancing is normal, Fuel system test is all ok. High pressure fuel pumps have the same temperature. 


",null,null,"Hello Sjoerd-Anne,
Thanks for your feedback and good that the machine is working, I hope that we will have some information about this issue presented officially soon from GTS.
The case have been linked to QC0013898.",null,1000 hour fuel water separator.,null,null,Closed,VOE17515206,233 Fuel pump; filter; strainer,09c0080687ee4110eb664116cebb3516,FG2: Irregular / poor engine performance / Abnormal high consumption ,"Abnormal oil consumption, low power, white/black smoke etc.","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P008700""]"
TS3196674,2022-05-19T08:51:41Z,L120H,16,17515206,FUEL FILTER,Engine stops and error code P016F00 is active.,P000F00 Fuel System Over Pressure Relief Valve Activated - No Sub Type Information,null,"On 13-4-2022 we replaced the fuel filters to the new type with the 1000 service interval. That day the machine generates the error code  P008700 once. Since then machine generates  P008700 and at the same time P016F00, but also error code P016F00 is generated without error code P008700. Error code P016F00 can only be generated when machine is filling the bucket in a pile, so full power is needed from the engine. We replaced the fuel filters again but without result. No air in the return fuel to the tank. Cylinder balancing is normal, Fuel system test is all ok. High pressure fuel pumps have the same temperature. 


",null,null,"Hello Sjoerd-Anne,
Thanks for your feedback and good that the machine is working, I hope that we will have some information about this issue presented officially soon from GTS.
The case have been linked to QC0013898.",null,1000 hour fuel water separator.,null,null,Closed,VOE17515206,233 Fuel pump; filter; strainer,09c0080687ee4110eb664116cebb3516,FG2: Irregular / poor engine performance / Abnormal high consumption ,"Abnormal oil consumption, low power, white/black smoke etc.","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P000F00""]"
TS3196674,2022-05-19T08:51:41Z,L120H,16,17515206,FUEL FILTER,Engine stops and error code P016F00 is active.,P016F00 Closed Loop Fuel Pressure Control At Limit - Pressure Too Low - No Sub Type Information,null,"On 13-4-2022 we replaced the fuel filters to the new type with the 1000 service interval. That day the machine generates the error code  P008700 once. Since then machine generates  P008700 and at the same time P016F00, but also error code P016F00 is generated without error code P008700. Error code P016F00 can only be generated when machine is filling the bucket in a pile, so full power is needed from the engine. We replaced the fuel filters again but without result. No air in the return fuel to the tank. Cylinder balancing is normal, Fuel system test is all ok. High pressure fuel pumps have the same temperature. 


",null,null,"Hello Sjoerd-Anne,
Thanks for your feedback and good that the machine is working, I hope that we will have some information about this issue presented officially soon from GTS.
The case have been linked to QC0013898.",null,1000 hour fuel water separator.,null,null,Closed,VOE17515206,233 Fuel pump; filter; strainer,09c0080687ee4110eb664116cebb3516,FG2: Irregular / poor engine performance / Abnormal high consumption ,"Abnormal oil consumption, low power, white/black smoke etc.","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P016F00""]"
TS3057629,2019-09-13T13:03:03Z,L90H,659,22730,null,"Machine detects slip in 1st gear.
p/n 22730 - s/n  11544.",P101600 Transmission Clutch 1 Slip - No Sub Type Information,null,"In Neutral main pressure is 20 bar at Low Idle and High Idle.
As soon as F1 or R1 is selected, the main pressure drops to 13,5 bar and clutch 1 pressure is max 9 bar at low idle. At High Idle main pressure rises to 20 bar and clutch 1 pressure rises to 14,5 bar which is too low.
PWM exchanged with clutch 2 and transmission calibration carried out, but the transmission keeps slipping in 1st gear and clutch pressure is too low. 
Matris attached to this case and has been exported to the Volvo systems. 
Techtool Job Card attached to this case.",null,null,null,null,null,null,null,Accept/Reject,VOE22730,"421 Transmission, hydraulic control",c9362df9db964b004dd1f3361d961962,Slipping / Skidding,"Slipping / Skidding clutches in Transmission, Friction clutches brakes or similar","Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P101600""]"
TS3158926,2021-09-13T12:27:12Z,L110H,2780,11383475,ELECTRONIC UNIT,Climate control is not working.,U100B00 HMICU CCM BB2 Bus Diagnostic - No Sub Type Information,null,"Error code read out showed U100B00 was active.
CCM ecu  not visible in techtool.
CCM voltage supply were alright and ground connections were ok too.
RE14 replaced.
We replaced the CCM and that solved the problem.
",null,null,null,null,CCM contact fault.,null,null,Accept/Reject,VOE11383475,873 Heating unit,cd362df9db964b004dd1f3361d961964,Electrical problem (Excluding Cables),"Sensor/Contacts/relays/lights/Horns/ Short circuit/Intermittent/Voltage drop""""",Pavement finishing (pavers only),"[""U100B00""]"
TS3058946,2019-09-23T22:00:00Z,L70H,393,22730,null,"Machine detects slip in 1st and 2nd gear.
p/n 22730 - s/n  12121.",P101700 Transmission Clutch 2 Slip - No Sub Type Information,null,"n Neutral main pressure is 19 bar at Low Idle and 20 bar at High Idle.
As soon as F1 or R1 is selected, the main pressure drops to 17 bar and clutch 1 pressure is max 10 bar at low idle. At 1500 r.p.m. main pressure rises to 19 bar and clutch 1 pressure rises to 12,5 bar which is too low. Above 1500 r.p.m. first gear clutch start to slip and P101600 is set. 
As soon as F2 or R2 is selected, the main pressure drops to 14 bar and clutch 2 pressure is max 9 bar at low idle. At 1500 r.p.m. main pressure rises to 19 bar and clutch 2 pressure rises to 12 bar which is too low. Above 1500 r.p.m. second gear clutch start to slip as well and  P101700 is set.  
Matris attached to this case and has been exported to the Volvo systems. 
Techtool Job Card attached to this case.",null,null,Pressure test report added to this case and transmission will be replaced.,null,Mostlikely piston failure of 1st and 2nd gear clutch.,null,null,Closed,VOE22730,"421 Transmission, hydraulic control",c9362df9db964b004dd1f3361d961962,Slipping / Skidding,"Slipping / Skidding clutches in Transmission, Friction clutches brakes or similar",Processing low density bulk-material,"[""P101700""]"
TS3058946,2019-09-23T22:00:00Z,L70H,393,22730,null,"Machine detects slip in 1st and 2nd gear.
p/n 22730 - s/n  12121.",P101600 Transmission Clutch 1 Slip - No Sub Type Information,null,"n Neutral main pressure is 19 bar at Low Idle and 20 bar at High Idle.
As soon as F1 or R1 is selected, the main pressure drops to 17 bar and clutch 1 pressure is max 10 bar at low idle. At 1500 r.p.m. main pressure rises to 19 bar and clutch 1 pressure rises to 12,5 bar which is too low. Above 1500 r.p.m. first gear clutch start to slip and P101600 is set. 
As soon as F2 or R2 is selected, the main pressure drops to 14 bar and clutch 2 pressure is max 9 bar at low idle. At 1500 r.p.m. main pressure rises to 19 bar and clutch 2 pressure rises to 12 bar which is too low. Above 1500 r.p.m. second gear clutch start to slip as well and  P101700 is set.  
Matris attached to this case and has been exported to the Volvo systems. 
Techtool Job Card attached to this case.",null,null,Pressure test report added to this case and transmission will be replaced.,null,Mostlikely piston failure of 1st and 2nd gear clutch.,null,null,Closed,VOE22730,"421 Transmission, hydraulic control",c9362df9db964b004dd1f3361d961962,Slipping / Skidding,"Slipping / Skidding clutches in Transmission, Friction clutches brakes or similar",Processing low density bulk-material,"[""P101600""]"
TS3206616,2022-07-21T11:48:40Z,L120H,1689,17526656,KIT,Engine derates now and then and error code P206A11 is active now and then.,P206A11 Reductant Quality - Circuit Short To Ground,null,Techtool read out the code has been active 6 times now. So far we checked the wiring and performed a reset on the quality and tampering timers and deleted the error codes. Software has been updated too. We see quite a few of these error codes lately and  in all cases we replaced the adblue tank unit to get rid of the code. So the next step here is to replace the adblue tank unit also on this machine. Or are there any other things we can check before we change the tank unit.,null,null,null,null,Please advise?,null,null,Accept/Reject,VOE17526656,254 Catalytic converter; exhaust emission control equipment,05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""P206A11""]"
TS3305591,2023-08-29T14:30:53Z,A45G,6126,23719482,CONTROL UNIT,ENGINE  ECU  WILL NOT COMMUNICATE WITH THE OTHER ECU'S IN THE MACHINE AFTER INSTALING NEW CAB HARNESS .,U000188 CAN Communication Backbone 2 Net - Bus off,null,"1: tested power and grounds to the e-ecu.
results showed good grounds on pins eb58, 59.61
showed good power on eb 57.60
2} check can buses discription and measuring for j1939.  due to code  ef3602-9
found at the voltages and ohms .
installed a test e-ecu to the machine and the code went from red to yellow  and the machine would start.
tried to program the e-ecu and the ceu was cleared  of software and the ef 3602-9 code went red again.

",null,waste water treatment plant,"Hello Gary, Good to hear the machine is now without faults. Well done! Thank you for keeping the case going, I think this is a team work on which all of us have learned from it, I am sure. I agree that PROSIS needs to be updated with the correct information and add any note that may be necessary on the measurements control procedure about the CAN-busses when an additional option is part of circuit to make a diagnostic correctly and efficiently. On the CAN-bus 6 I guess that only the HMIM has a terminating resistor on pins 35 and 36 and physically R3614 on the circuit, and no terminating resistor on the SID nor in the W-ECU and that should also be described in PROSIS, IMHO. I encourage you to make a PROSIS feedback explaining in detail your suggestion about what information is in PROSIS that could improve your fault tracing and troubleshooting. If no more support is needed, I set this case as a proposed solution for you to act accordingly. Please, fill in the &ldquo;cause and corr",null,New wiring harness terminals in incorrect pin locations on c10 of cab harness. Removed and installed into correct locations,New wiring harness terminals in incorrect pin locations on c10 of cab harness. Removed and installed into correct locations,MAX JANTZ,Closed,VOE23719482,28 IGNITION AND CONTROL SYSTEM,24da8fe5876ecd10eb664116cebb3593,FG3: Software / calibration,Code only applicable to Software problem. (Excluding ECU:s),"Re-handling, Processing Aggregates, Sand, Gravel, stockpiling prepared material,","[""U000188""]"
TS3079671,2020-02-25T12:54:56Z,L70H,4614,?,null,Error P02E612 active and additional sometimes  P02E697 active. ,P02E697 Diesel Intake Air Flow Position Sensor - Component or System Operation Obstructed or Blocked,null,"We replaced the throttle valve twice , but that didn't solve the problem. We updated the software, we replaced rail pressure sensor and the cable harness p/n 17447069. Still the machine generates the error code know and then. Only thing left to be causing the problem might be the Engine ECU, Software or the Deutz cable harness on the engine itself.",null,null,null,null,Please advice?,null,null,In Progress,null,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Recycling - General waste and scrap handling,"[""P02E697""]"
TS3079671,2020-02-25T12:54:56Z,L70H,4614,?,null,Error P02E612 active and additional sometimes  P02E697 active. ,P02E612 Diesel Intake Air Flow Position Sensor - Circuit Short To Battery,null,"We replaced the throttle valve twice , but that didn't solve the problem. We updated the software, we replaced rail pressure sensor and the cable harness p/n 17447069. Still the machine generates the error code know and then. Only thing left to be causing the problem might be the Engine ECU, Software or the Deutz cable harness on the engine itself.",null,null,null,null,Please advice?,null,null,In Progress,null,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Recycling - General waste and scrap handling,"[""P02E612""]"
TS3091160,2020-05-27T14:08:47Z,A60H,1829,22594,DROPPBOX,"Drivers complain that on some occasions when the distribution box switches from L to H it takes a long time and after comes error code EF4310-7.
The machine still runs but after the next loading when the machine has switched down to L, it does not change up again, unless the machine is restarted (fault code is active).",EF4310-7,"Förare klagar på att vid vissa tillfällen då fördelningslåda växlar från L till H tar det lång tid och efter kommer felkod  EF4310-7.
Maskin går fortfarande framföra men efter nästa lastning då maskinen växlat ner till L växlar den ej upp igen, om man inte startar om maskinen (felkod ligger aktiv).","Control switching function with techtooltest 43030-3 . Switching then works properly.
Control air pressure according to spec and check for possible leakage, 
pressure is stable and no leakage found.
Measuring cabling to solenoid valves OK.
control function of vcb compendium brake carried test without brake it will be 4 sec with brake it will be 2 sec.(attached video)
control pressure in rocker bridge 0.6bar not activated peaks at 2.2 bar when stocking during test operation 25336-3 in techtool.

Callibrering of load weight carried out.

Callibrering of inclination sensors performed.","Kontroll växlingsfunktion med techtooltest  43030-3 .   Växling fungerar då som den ska.
Kontroll lufttryck enligt spec och sök efter ev läckage, 
trycket ligger stadigt och inga  läckage hittade.
Mätning kablage till magnetventiler OK.
kontroll funktion av VCB kompretionsbroms genomfört test utan broms blir det 4 sec med broms blir det 2 sec.(bifogad video)
kontroll tryck i vipparmsbrygga 0.6bar ej aktiverad peakar på 2.2 bar vid aktiering under test operation 25336-3 i techtool.

Kallibrering av lastvikt genomfört.

Kallibrering av lutningsgivare utfört.
",Lastning kalk,null,null,null,null,haulassist,Dealer Action Required,VOE22594,434 Distributing gearbox,c9362df9db964b004dd1f3361d961962,Slipping / Skidding,"Slipping / Skidding clutches in Transmission, Friction clutches brakes or similar","Earth, Soil, Clay, Mud shifting, Slurry",[]
TS3202824,2022-06-27T08:25:09Z,L110H,202,23488881,SENSOR,"Error P245264 is active occasionally, the last time we saw it once in the 42 running hours.","P245264 Particulate Filter Pressure Sensor """"A"""" - Signal Plausibility Failure",null,"We replaced the SE2519 on the first visit and checked the hoses and pipes connected to sensor on leakage and blockage. We performed a sensor value read out and noticed that the differentional over the DPF is fluctuating more then we are used to. I advised to check the DPF for a blockage and check the exhaust system on external leakage due to missing gaskets and or plugs. We fitted a new DPF to test if the problem disappears but no difference. 
Stall rpm is on the low side but engine is still new so we think that will improve.
We checked the resisctance on the wirings and found no fault here.",null,null,null,null,Pleas advise?,null,null,In Progress,VOE23488881,254 Catalytic converter; exhaust emission control equipment,05c0080687ee4110eb664116cebb3516,"FG2: Emission related Problem (SCR, DPF, Add blue excl. sensor)",EATS; Smokey exhaust gases (White/Black); AdBlue; Etc.,"Pallet fork operation, Material handling arm operation","[""P245264""]"
TS3029990,2019-02-26T10:03:38Z,A40G,2726,22900346,null,the machine showed SCR system error codes on the display and Low power because of engine derate.,EF2562-14,null,We applied the operations via tech tool and We checked to the Adblue/DEF system,null,null,"Case will follw-up, the adblue pump is working right now. If we have complain from customer and regarding to test result we will change it.",null,"we checked to the machine and saw that SE2540 ,EF2562 error codes on the display.So machine SCR system failture.We applied the operations via tech tool and We checked to the Adblue/DEF system and saw that the adlue pump unit does not perform regularly. So machine showed SCR system error.e will change to the unit by new one and the problem will be solve.",null,.,Closed,VOE22900346,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Earth, Soil, Clay, Mud shifting, Slurry",[]
TS3029990,2019-02-26T10:03:38Z,A40G,2726,22900346,null,the machine showed SCR system error codes on the display and Low power because of engine derate.,EF2562-14,null,We applied the operations via tech tool and We checked to the Adblue/DEF system,null,null,"Case will follw-up, the adblue pump is working right now. If we have complain from customer and regarding to test result we will change it.",null,"we checked to the machine and saw that SE2540 ,EF2562 error codes on the display.So machine SCR system failture.We applied the operations via tech tool and We checked to the Adblue/DEF system and saw that the adlue pump unit does not perform regularly. So machine showed SCR system error.e will change to the unit by new one and the problem will be solve.",null,.,Closed,VOE22900346,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Earth, Soil, Clay, Mud shifting, Slurry",[]
TS3029990,2019-02-26T10:03:38Z,A40G,2726,22900346,null,the machine showed SCR system error codes on the display and Low power because of engine derate.,MID233  PPID277 Aftertreatment Control Unit - ACM air pressure - Faulty device or component,null,We applied the operations via tech tool and We checked to the Adblue/DEF system,null,null,"Case will follw-up, the adblue pump is working right now. If we have complain from customer and regarding to test result we will change it.",null,"we checked to the machine and saw that SE2540 ,EF2562 error codes on the display.So machine SCR system failture.We applied the operations via tech tool and We checked to the Adblue/DEF system and saw that the adlue pump unit does not perform regularly. So machine showed SCR system error.e will change to the unit by new one and the problem will be solve.",null,.,Closed,VOE22900346,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Earth, Soil, Clay, Mud shifting, Slurry","[""MID233 PPID277""]"
TS3029990,2019-02-26T10:03:38Z,A40G,2726,22900346,null,the machine showed SCR system error codes on the display and Low power because of engine derate.,MID233  PPID277 Aftertreatment Control Unit - ACM air pressure - Faulty device or component,null,We applied the operations via tech tool and We checked to the Adblue/DEF system,null,null,"Case will follw-up, the adblue pump is working right now. If we have complain from customer and regarding to test result we will change it.",null,"we checked to the machine and saw that SE2540 ,EF2562 error codes on the display.So machine SCR system failture.We applied the operations via tech tool and We checked to the Adblue/DEF system and saw that the adlue pump unit does not perform regularly. So machine showed SCR system error.e will change to the unit by new one and the problem will be solve.",null,.,Closed,VOE22900346,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Earth, Soil, Clay, Mud shifting, Slurry","[""MID233 PPID277""]"
TS3122589,2020-12-29T14:18:16Z,L150H,2533,22134241,EGR COOLER,Error code P023400 active in the display.,P023400 Turbocharger/Supercharger Overboost Condition - No Sub Type Information,null,"We checked the machine and found that the EGR differential pressure was too low. We cleaned the venturi and sensor but this didn't solve the problem.
We finally concluded that the EGR cooler was clogged with soot.
We replaced the EGR cooler and that solved the problem.
",null,null,"Hi Sjoerd, thanks for this information.
Br Jim

EGR cooler clogged probably caused by injector failure see TS3118406",null,EGR cooler clogged probably caused by injector failure see TS3118406,null,null,Closed,VOE22134241,293 EGR (Exhaust Gas Recirculation),c9362df9db964b004dd1f3361d961963,Contamination / Blocked / Clogged,"Metal dust or other foreign objects in oil or components (Engines, Transmissions, Drive axles, Hydra",Processing low density bulk-material,"[""P023400""]"
TS3352867,2024-02-19T07:54:29Z,A45G,44,22443,TRANSMISSION,"When the machine is running,  error code EF4204-7/EF4205-7  is actived, which make the engine rpm increase and power reduce. After starting the engine, the transmission is running roughly and the vehicle automatically moves forward after releasing the parking brake. The gearbox makes an error alarm when the gear box at neutral gear positon. Gear shifting is not smooth and error code occured sometimes.
When the vehicle is running, the transmission slip alarm EF4204-7/EF4205-7, the starting speed increases, and the power decreases. When the engine is started, the transmission impact is clearly felt and the parking brake is released. There is an error in the gearbox after the neutral gear is hung, and an error alarm of variables occasionally occurs when the D gear is upshifted, and the gear shift is not smooth.",EF4204-7,"When the machine is running,  error code EF4204-7/EF4205-7  is actived, which make the engine rpm increase and power reduce. After starting the engine, the transmission is running roughly and the vehicle automatically moves forward after releasing the parking brake. The gearbox makes an error alarm when the gear box at neutral gear positon. Gear shifting is not smooth and error code occured sometimes.
车辆运行时变速箱滑档报警EF4204-7/EF4205-7，发动转速提高，动力减低。启动发动机后明显感觉到变速箱冲击且释放驻车制动后车辆自动前进。挂空挡后出现变速箱出错，D档运行中升档时偶发变数出错报警，换挡不顺畅。","1. Check the plugs of SE4215, SE4209, SE4307 are not loose, using a multimeter measuring VECU VB78/79/80/81~VB87=1.1V, the SE4213 resistance value is about 1140 euros, meet the standards. 2. Using TT checked the sensor speed when machine is running, and found that the turbine speed sensor (SE4213) was 0RPM after running for a period of time. The engine load was 270NM  (11NM is correct for a functioning machine) at neutral position. 3. Using TT checks the pressure of clutches, K1 clutch pressure is 1.8bar (7.2bar is correct for a functioning machine), judging that the clutch pressure is not enough due to internal leakage. 4. Discharging oil and check the oil and oil pan has no macroscopic iron scraps and odors. The PWM4210 solenoid valve is not trapped.  Replacing the ECU and test, the gearbox alarm is same as before and no reverse function, the turbine speed is 0RMP, and the transmission is running roughly after start the engine. The preliminary judgment of us is that there is leakage ","1. Check the plugs of SE4215, SE4209, SE4307 are not loose, using a multimeter measuring VECU VB78/79/80/81~VB87=1.1V, the SE4213 resistance value is about 1140 euros, meet the standards. 2. Using TT checked the sensor speed when machine is running, and found that the turbine speed sensor (SE4213) was 0RPM after running for a period of time. The engine load was 270NM  (11NM is correct for a functioning machine) at neutral position. 3. Using TT checks the pressure of clutches, K1 clutch pressure is 1.8bar (7.2bar is correct for a functioning machine), judging that the clutch pressure is not enough due to internal leakage. 4. Discharging oil and check the oil and oil pan has no macroscopic iron scraps and odors. The PWM4210 solenoid valve is not trapped.  Replacing the ECU and test, the gearbox alarm is same as before and no reverse function, the turbine speed is 0RMP, and the transmission is running roughly after start the engine. The preliminary judgment of us is that there is leakage ",检查测试后，故障依旧,null,null,null,null,null,Accept/Reject,VOE22443,420 General,c85a07a5876ecd10eb664116cebb3561,FG2: Other ,Only to be used if none of the available def codes matches,"Earth, Soil, Clay, Mud shifting, Slurry",[]
TS3352867,2024-02-19T07:54:29Z,A45G,44,22443,TRANSMISSION,"When the machine is running,  error code EF4204-7/EF4205-7  is actived, which make the engine rpm increase and power reduce. After starting the engine, the transmission is running roughly and the vehicle automatically moves forward after releasing the parking brake. The gearbox makes an error alarm when the gear box at neutral gear positon. Gear shifting is not smooth and error code occured sometimes.
When the vehicle is running, the transmission slip alarm EF4204-7/EF4205-7, the starting speed increases, and the power decreases. When the engine is started, the transmission impact is clearly felt and the parking brake is released. There is an error in the gearbox after the neutral gear is hung, and an error alarm of variables occasionally occurs when the D gear is upshifted, and the gear shift is not smooth.",EF4205-7,"When the machine is running,  error code EF4204-7/EF4205-7  is actived, which make the engine rpm increase and power reduce. After starting the engine, the transmission is running roughly and the vehicle automatically moves forward after releasing the parking brake. The gearbox makes an error alarm when the gear box at neutral gear positon. Gear shifting is not smooth and error code occured sometimes.
车辆运行时变速箱滑档报警EF4204-7/EF4205-7，发动转速提高，动力减低。启动发动机后明显感觉到变速箱冲击且释放驻车制动后车辆自动前进。挂空挡后出现变速箱出错，D档运行中升档时偶发变数出错报警，换挡不顺畅。","1. Check the plugs of SE4215, SE4209, SE4307 are not loose, using a multimeter measuring VECU VB78/79/80/81~VB87=1.1V, the SE4213 resistance value is about 1140 euros, meet the standards. 2. Using TT checked the sensor speed when machine is running, and found that the turbine speed sensor (SE4213) was 0RPM after running for a period of time. The engine load was 270NM  (11NM is correct for a functioning machine) at neutral position. 3. Using TT checks the pressure of clutches, K1 clutch pressure is 1.8bar (7.2bar is correct for a functioning machine), judging that the clutch pressure is not enough due to internal leakage. 4. Discharging oil and check the oil and oil pan has no macroscopic iron scraps and odors. The PWM4210 solenoid valve is not trapped.  Replacing the ECU and test, the gearbox alarm is same as before and no reverse function, the turbine speed is 0RMP, and the transmission is running roughly after start the engine. The preliminary judgment of us is that there is leakage ","1. Check the plugs of SE4215, SE4209, SE4307 are not loose, using a multimeter measuring VECU VB78/79/80/81~VB87=1.1V, the SE4213 resistance value is about 1140 euros, meet the standards. 2. Using TT checked the sensor speed when machine is running, and found that the turbine speed sensor (SE4213) was 0RPM after running for a period of time. The engine load was 270NM  (11NM is correct for a functioning machine) at neutral position. 3. Using TT checks the pressure of clutches, K1 clutch pressure is 1.8bar (7.2bar is correct for a functioning machine), judging that the clutch pressure is not enough due to internal leakage. 4. Discharging oil and check the oil and oil pan has no macroscopic iron scraps and odors. The PWM4210 solenoid valve is not trapped.  Replacing the ECU and test, the gearbox alarm is same as before and no reverse function, the turbine speed is 0RMP, and the transmission is running roughly after start the engine. The preliminary judgment of us is that there is leakage ",检查测试后，故障依旧,null,null,null,null,null,Accept/Reject,VOE22443,420 General,c85a07a5876ecd10eb664116cebb3561,FG2: Other ,Only to be used if none of the available def codes matches,"Earth, Soil, Clay, Mud shifting, Slurry",[]
TS3008278,2018-10-09T11:49:42Z,L70H,3787,21576178,null,"Engine derates and error code P20E892 active.
 
",P20E892 Reductant Pressure Too Low - Performance or Incorrect Operation,null,"We flushed the pump first but two days later the pump had the same problem again.
 
",null,null,"Thanks for the information
 
",null,"Adblue pump pressure build up problem.
 
",null,null,Closed,VOE21576178,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Processing low density bulk-material,"[""P20E892""]"
TS3008278,2018-10-09T11:49:42Z,L70H,3787,21576178,null,"Engine derates and error code P20E892 active.
 
",P20E892 Reductant Pressure Too Low - Performance or Incorrect Operation,null,"We flushed the pump first but two days later the pump had the same problem again.
 
",null,null,"Thanks for the information
 
",null,"Adblue pump pressure build up problem.
 
",null,null,Closed,VOE21576178,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Processing low density bulk-material,"[""P20E892""]"
TS3008278,2018-10-09T11:49:42Z,L70H,3787,21576178,null,"Engine derates and error code P20E892 active.
 
",P20E892 Reductant Pressure Too Low - Performance or Incorrect Operation,null,"We flushed the pump first but two days later the pump had the same problem again.
 
",null,null,"Thanks for the information
 
",null,"Adblue pump pressure build up problem.
 
",null,null,Closed,VOE21576178,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only",Processing low density bulk-material,"[""P20E892""]"
TS3251767,2023-03-01T06:48:07Z,L90H,6522,22341622,EINSPRITZVENTIL,"sporadic error message of the fuel system and engine power reduction.
",P2BAF00 NOx System Driver Inducement Active - No Sub Type Information,"sporadische Fehlermeldung der Kraftstoffanlage und eintretender Motorleistungsreduzierung.
","Error message P016F00 active
After measuring the return quantity of the injectors (target 95ml/min - actual 475ml/min) it was found that the injectors are faulty.
Read out the error memory.
Checked the return quantity of the injectors.
In addition, all high-pressure pumps checked.
","Fehlermmeldung P016F00 aktiv
Nach Messung der Rücklaufmenge der Einspritzventile (Soll 95ml/min - Ist 475ml/min) wurde festgestellt, dass die Einspritzventile fehlerhaft sind.
Den Fehlerspeicher ausgelesen.
Die Rücklaufmenge der Einspritzventile geprüft.
Zusätzlich alle Hochdruckpumpen kontrolliert.
",null,"Injectors removed and renewed.
The seat sleeves, adapters and gaskets renewed.
Completes the machine and clears the error memory.
Test run - O.K
A service regeneration performed.
","Einspritzventile ausgebaut und erneuert.
Die Sitzhülsen, Adapter und Dichtungen erneuert.
Die Maschine komplettiert und den Fehlerspeicher gelöscht.
Probelauf - O.K
Eine Service Regeneration durchgeführt.
","Injectors removed and renewed.
The seat sleeves, adapters and gaskets renewed.
Completes the machine and clears the error memory.
Test run - O.K
A service regeneration performed.
","Einspritzventile ausgebaut und erneuert.
Die Sitzhülsen, Adapter und Dichtungen erneuert.
Die Maschine komplettiert und den Fehlerspeicher gelöscht.
Probelauf - O.K
Eine Service Regeneration durchgeführt.
","Bucket
TASAA0317",Dealer Action Required,VOE22341622,237 Injector; delivery pipe,89c0080687ee4110eb664116cebb3516,FG2: Contamination / Blocked / Clogged,Fuel; Oil; Water; plungers; Filters; etc.,Recycling - General waste and scrap handling,"[""P2BAF00""]"
